set_id,min_date,max_date,time_to_request_all_data,tp_sum
[26],2007-09-18 07:00:00+00:00,2021-12-31 23:50:00+00:00,1.3627760410308838 seconds,19261794.700000003
[27],2009-05-14 16:50:00+00:00,2021-12-31 23:50:00+00:00,1.2674710750579834 seconds,17347064.499999996
[28],2011-04-15 16:50:00+00:00,2021-12-31 23:50:00+00:00,2.100192070007324 seconds,41375211.900000006
[29],2010-07-26 14:10:00+00:00,2021-12-31 23:50:00+00:00,2.5596489906311035 seconds,46565887.499999985
[30],2008-05-07 20:21:00+00:00,2021-12-31 23:56:00+00:00,1.3971810340881348 seconds,1691264.62
[31],2006-03-01 00:00:00+00:00,2021-12-31 23:30:00+00:00,1.4540719985961914 seconds,2022303.08
[32],2006-09-27 20:00:00+00:00,2021-12-31 23:56:00+00:00,1.4127769470214844 seconds,2069530.19
[33],2006-10-04 00:00:00+00:00,2021-12-25 19:26:00+00:00,1.3681919574737549 seconds,2165689.610000001
[34],2011-05-03 12:35:00+00:00,2021-12-31 23:56:00+00:00,1.1898550987243652 seconds,1447996.11
[35],1975-08-13 22:00:00+00:00,2021-07-25 13:50:00+00:00,2.1727161407470703 seconds,18628501.32
[36],1973-06-22 00:00:00+00:00,2021-12-31 23:50:00+00:00,2.1381590366363525 seconds,14589576.519999998
[37],1976-11-20 15:00:00+00:00,2021-12-01 01:50:00+00:00,2.2867000102996826 seconds,20766001.859999996
[38],1981-01-16 13:00:00+00:00,2009-12-09 11:50:00+00:00,1.5049819946289062 seconds,7891236.1899999995
[39],1983-08-09 20:00:00+00:00,2021-12-31 23:50:00+00:00,1.485874891281128 seconds,17256688.81
[40],2004-01-01 00:00:00+00:00,2021-12-31 23:30:00+00:00,1.2793569564819336 seconds,20443599.0
[41],1990-05-25 04:00:00+00:00,2021-12-31 23:50:00+00:00,1.8339951038360596 seconds,14780879.079999998
[42],1990-05-24 16:00:00+00:00,2021-12-31 23:50:00+00:00,1.832176923751831 seconds,14197272.299999999
[43],2004-03-23 06:00:00+00:00,2021-12-23 16:30:00+00:00,1.1071498394012451 seconds,14562801.0
[44],2004-07-01 00:00:00+00:00,2021-12-31 23:30:00+00:00,1.0942940711975098 seconds,15160563.0
[45],1993-05-05 17:00:00+00:00,2021-12-31 23:50:00+00:00,1.950636625289917 seconds,17188226.8
[46],1994-01-01 01:00:00+00:00,2021-12-31 23:50:00+00:00,1.7056457996368408 seconds,13712659.729999999
[47],1995-12-12 18:00:00+00:00,2021-12-31 23:50:00+00:00,1.6567301750183105 seconds,12520631.3
[48],1995-12-04 22:00:00+00:00,2021-12-31 23:50:00+00:00,2.026336908340454 seconds,24419047.259999998
[49],2004-01-01 00:00:00+00:00,2021-05-03 13:00:00+00:00,1.0416529178619385 seconds,14549931.0
[50],2010-03-25 07:30:00+00:00,2020-12-08 17:00:00+00:00,0.8750758171081543 seconds,7664184.0
[51],2004-01-01 00:00:00+00:00,2021-06-02 17:00:00+00:00,1.21262526512146 seconds,17884647.0
[52],2004-03-01 00:00:00+00:00,2016-11-10 04:30:00+00:00,1.0882861614227295 seconds,14634972.0
[53],2004-09-01 00:00:00+00:00,2019-02-23 05:00:00+00:00,1.0762887001037598 seconds,14336487.0
[54],2005-05-10 22:00:00+00:00,2021-12-31 23:50:00+00:00,1.5807240009307861 seconds,17011876.529999997
[55],2005-05-03 20:00:00+00:00,2021-12-31 23:50:00+00:00,1.789991855621338 seconds,23348068.72
[56],2005-06-06 03:00:00+00:00,2020-12-12 16:50:00+00:00,1.448349952697754 seconds,17017917.529999997
[57],2005-06-08 10:00:00+00:00,2021-09-24 15:50:00+00:00,1.3661980628967285 seconds,14139385.780000001
